PeriodoMuestra;uwindM;vwindM
1012019;14.646.221;0.79973169
1022019;12.171.535;0.67229121
1032019;0.83420296;0.69635077
1042019;0.50812409;0.49597975
1052019;-0.090675293;0.29636059
1062019;-0.41346044;0.15125137
1072019;-0.37876653;0.25049705
1082019;-0.11790343;0.47154426
1092019;0.70662598;0.54033956
1102019;0.87548433;0.69447112
1112019;12.052.961;0.85499349
1122019;14.220.233;0.76740166
1012020;1.547.624;0.66214108
1022020;12.913.721;0.65349468
1032020;11.161.459;0.55274527
1042020;0.32235795;0.53770805
1052020;-0.33441102;0.45989041
1062020;-0.45562013;0.14523648
1072020;-0.60054408;0.22606156
1082020;-0.079696206;0.39485441
1092020;0.3421203;0.56063982
